,country,year,life_expectancy,adult_mortality,infant_deaths,under_five_deaths,bmi_male,bmi_female,health_expenditure_percentage,total_expenditure,unemployment_total,population,gdp_per_capita,income_class
300,Estonia,2003,71.32,198.9,4.1,4.3,26.07,25.6,5.14,11.08,11.29,1370720,7203.52,High income
298,Estonia,2005,72.57,185.7,3.3,3.6,26.28,25.71,5.3,11.58,8.03,1354775,10412.64,High income
297,Estonia,2006,72.69,183.5,3.1,3.3,26.38,25.76,4.97,11.06,5.92,1346810,12639.4,High income
288,Estonia,2015,77.59,116.2,1.5,1.7,27.04,26.02,6.64,12.51,6.41,1315407,17402.04,High income
295,Estonia,2008,73.77,163.5,2.7,2.8,26.56,25.84,5.96,11.42,5.46,1337090,18204.97,High income
294,Estonia,2009,74.82,153.1,2.4,2.6,26.64,25.87,6.84,11.4,13.55,1334515,14711.74,High income
293,Estonia,2010,75.43,134.5,2.1,2.6,26.71,25.9,6.59,12.02,16.71,1331475,14663.04,High income
292,Estonia,2011,76.23,136.5,2.0,2.2,26.78,25.92,6.08,12.04,12.33,1327439,17487.8,High income
291,Estonia,2012,76.33,133.6,2.0,2.3,26.84,25.95,6.1,11.67,10.02,1322696,17403.21,High income
290,Estonia,2013,77.14,121.9,1.6,1.9,26.91,25.97,6.28,12.17,8.63,1317997,19056.0,High income
289,Estonia,2014,77.03,123.8,1.7,2.0,26.97,26.0,6.36,12.55,7.35,1314545,20261.07,High income
296,Estonia,2007,72.81,184.7,2.8,3.0,26.47,25.8,5.18,11.49,4.59,1340680,16744.58,High income
299,Estonia,2004,71.91,193.6,3.8,4.0,26.18,25.66,5.34,11.52,10.25,1362550,8914.1,High income
314,Finland,2005,78.82,100.1,2.8,0.9,26.52,25.62,8.29,13.16,8.38,5246096,39054.85,High income
319,Finland,2000,77.47,104.3,2.6,1.6,26.32,25.49,7.09,11.2,11.14,5176209,24345.91,High income
318,Finland,2001,77.97,99.4,2.7,1.5,26.37,25.52,7.25,11.69,10.29,5188008,24967.79,High income
317,Finland,2002,78.12,97.59,2.7,1.4,26.41,25.56,7.63,12.09,10.42,5200598,26997.75,High income
316,Finland,2003,78.37,97.01,2.7,1.3,26.45,25.58,7.94,12.44,10.47,5213014,32927.68,High income
315,Finland,2004,78.71,99.56,2.6,1.0,26.49,25.6,8.06,12.77,10.36,5228172,37772.18,High income
304,Finland,2015,81.48,69.32,1.8,0.6,26.55,25.68,9.65,13.41,9.38,5479531,42801.91,High income
310,Finland,2009,79.72,90.52,2.4,0.6,26.58,25.67,9.16,13.38,8.25,5338871,47481.48,High income
309,Finland,2010,79.87,87.74,2.2,0.6,26.59,25.67,9.14,13.32,8.39,5363352,46505.3,High income
308,Finland,2011,80.47,83.72,2.0,0.8,26.59,25.67,9.22,13.61,7.78,5388272,51148.93,High income
307,Finland,2012,80.63,79.93,1.9,1.0,26.58,25.68,9.59,13.8,7.69,5413971,47708.06,High income
