,country,year,life_expectancy,adult_mortality,infant_deaths,under_five_deaths,bmi_male,bmi_female,health_expenditure_percentage,total_expenditure,unemployment_total,population,gdp_per_capita,gni
1527,Malaysia,2008,74.25,131.2,4.0,3.7,24.55,25.31,3.01,5.93,3.32,27664296,8343.3,7420.0
1528,Malaysia,2007,74.21,127.9,4.2,3.7,24.44,25.18,3.07,6.28,3.23,27092604,7144.0,6560.0
1529,Malaysia,2006,74.16,129.3,4.2,3.8,24.33,25.06,3.11,6.55,3.32,26509413,6137.15,5790.0
1530,Malaysia,2005,74.1,130.8,4.2,3.8,24.21,24.94,2.79,5.55,3.53,25923536,5536.84,5240.0
1531,Malaysia,2004,73.9,132.4,4.4,4.0,24.1,24.81,2.86,5.63,3.54,25333247,4924.34,4720.0
1532,Malaysia,2003,73.8,134.2,4.6,4.2,23.98,24.69,2.92,5.41,3.61,24739411,4454.53,4170.0
1533,Malaysia,2002,73.56,132.3,4.6,4.3,23.86,24.56,2.67,5.04,3.48,24142445,4177.1,3810.0
1534,Malaysia,2001,73.34,136.3,4.8,4.7,23.74,24.42,2.68,4.79,3.53,23542517,3941.12,3570.0
1535,Malaysia,2000,72.78,142.4,5.2,5.0,23.61,24.29,2.51,4.58,3.0,22945150,4087.56,3490.0
1712,Myanmar,2015,65.56,197.1,25.3,27.1,22.22,23.08,5.48,4.98,0.77,51483949,1157.78,1230.0
1713,Myanmar,2014,65.06,201.9,25.8,28.8,22.12,22.99,4.39,4.47,0.75,51072436,1283.11,1260.0
1714,Myanmar,2013,64.82,209.6,26.6,31.0,22.02,22.9,3.2,2.71,0.75,50648334,1189.96,1260.0
1715,Myanmar,2012,64.14,217.1,27.2,33.3,21.93,22.8,2.41,2.32,0.74,50218185,1193.55,1170.0
1716,Myanmar,2011,63.9,225.0,27.9,35.1,21.83,22.71,1.93,1.65,0.72,49794522,1204.5,1040.0
1717,Myanmar,2010,63.33,232.0,28.6,36.4,21.74,22.62,1.96,1.35,0.71,49390988,1003.03,880.0
1718,Myanmar,2009,63.16,240.1,29.5,38.1,21.66,22.53,2.16,1.44,0.7,49015836,752.94,660.0
1719,Myanmar,2008,56.51,295.6,30.4,61.2,21.57,22.45,2.11,1.32,0.68,48729486,653.87,490.0
1720,Myanmar,2007,62.37,254.4,31.0,43.0,21.49,22.36,2.02,1.43,0.67,48445647,416.6,360.0
1721,Myanmar,2006,61.89,262.2,31.9,44.0,21.41,22.28,2.25,1.91,0.67,48088274,301.58,300.0
