,country,year,life_expectancy,adult_mortality,infant_deaths,under_five_deaths,bmi_male,bmi_female,health_expenditure_percentage,total_expenditure,unemployment_total,population,gdp_per_capita,income_class
93,Bangladesh,2002,66.61,166.9,39.3,39.1,20.65,20.1,1.93,4.54,3.97,134139826,407.96,Lower-middel income
81,Bangladesh,2014,69.99,128.3,21.9,17.0,21.28,21.78,2.28,3.59,4.41,155961299,1108.52,Lower-middel income
82,Bangladesh,2013,69.56,132.8,23.1,18.2,21.22,21.64,2.3,3.62,4.43,154030139,973.83,Lower-middel income
83,Bangladesh,2012,69.55,137.2,24.5,19.6,21.16,21.5,2.35,4.02,4.08,152090649,876.52,Lower-middel income
84,Bangladesh,2011,68.81,140.8,25.9,21.3,21.1,21.35,2.36,4.18,3.73,150211005,856.18,Lower-middel income
85,Bangladesh,2010,68.64,145.9,27.3,22.4,21.05,21.21,2.29,4.44,3.38,148391139,776.84,Lower-middel income
92,Bangladesh,2003,66.82,164.4,37.8,37.3,20.71,20.24,1.96,4.76,4.32,136503206,440.71,Lower-middel income
87,Bangladesh,2008,67.05,153.3,30.5,25.7,20.95,20.93,2.12,3.84,4.52,145421318,630.15,Lower-middel income
88,Bangladesh,2007,66.71,156.8,32.0,26.9,20.9,20.79,2.17,5.08,4.04,144135934,552.34,Lower-middel income
89,Bangladesh,2006,67.24,157.8,33.4,32.7,20.86,20.65,2.11,4.73,3.59,142628831,503.37,Lower-middel income
95,Bangladesh,2000,65.78,174.8,42.5,44.0,20.54,19.82,1.81,5.21,3.27,129193327,413.1,Lower-middel income
86,Bangladesh,2009,67.4,149.0,29.1,23.9,21.0,21.07,2.18,4.12,5.0,146706810,698.5,Lower-middel income
80,Bangladesh,2015,70.49,125.6,20.8,15.4,21.34,21.92,2.27,3.38,4.38,157830000,1236.44,Lower-middel income
103,Bhutan,2008,67.5,136.7,24.3,23.4,22.9,23.57,3.38,6.03,3.83,689737,1910.17,Lower-middel income
107,Bhutan,2004,65.27,151.2,28.2,33.6,22.51,23.02,4.6,9.09,2.49,649991,1131.32,Lower-middel income
106,Bhutan,2005,65.81,147.9,27.3,30.9,22.61,23.16,4.13,6.72,3.1,663323,1297.09,Lower-middel income
105,Bhutan,2006,66.36,143.8,26.3,28.2,22.71,23.3,4.41,6.83,3.13,673260,1400.47,Lower-middel income
104,Bhutan,2007,66.95,139.8,25.2,25.7,22.8,23.44,4.13,7.46,3.7,681614,1842.34,Lower-middel income
110,Bhutan,2001,63.44,165.0,31.2,45.2,22.19,22.57,5.0,6.55,1.9,603234,822.42,Lower-middel income
102,Bhutan,2009,67.9,134.5,23.3,21.5,22.99,23.7,3.55,6.19,3.96,697678,1908.25,Lower-middel income
101,Bhutan,2010,68.43,131.2,22.5,20.1,23.07,23.83,3.56,5.65,3.32,705516,2371.97,Lower-middel income
100,Bhutan,2011,68.88,128.5,21.7,18.6,23.16,23.96,3.35,6.15,3.23,713331,2717.45,Lower-middel income
99,Bhutan,2012,69.33,126.2,21.0,17.4,23.25,24.08,3.62,6.46,2.05,721145,2689.79,Lower-middel income
98,Bhutan,2013,69.71,124.1,20.0,16.5,23.33,24.21,3.71,7.1,2.87,728889,2624.77,Lower-middel income
97,Bhutan,2014,70.05,122.3,19.1,15.8,23.42,24.33,3.56,7.78,2.63,736357,2793.93,Lower-middel income
96,Bhutan,2015,70.34,120.4,18.2,15.1,23.51,24.45,3.76,9.37,2.45,743274,2899.23,Lower-middel income
111,Bhutan,2000,62.01,176.6,32.1,47.8,22.08,22.42,4.45,7.66,1.65,587207,784.62,Lower-middel income
109,Bhutan,2002,64.08,159.3,30.2,40.1,22.3,22.72,4.6,7.88,1.85,619048,903.56,Lower-middel income
