,country,year,life_expectancy,adult_mortality,infant_deaths,under_five_deaths,bmi_male,bmi_female,health_expenditure_percentage,total_expenditure,unemployment_total,population,gdp_per_capita,gni
248,Brazil,2007,72.36,145.2,12.9,9.1,25.33,25.92,8.2,9.28,9.28,190779453,7323.19,6240.0
247,Brazil,2008,72.72,145.2,12.3,8.6,25.45,26.03,8.01,9.27,8.27,192672317,8801.76,7680.0
175,Canada,2000,79.17,80.77,3.7,2.6,26.89,26.0,8.25,14.82,6.83,3759170,24271.0,22740.0
160,Canada,2015,81.82,66.11,3.6,1.6,27.45,26.73,10.74,19.01,6.94,4819333,43594.19,47580.0
161,Canada,2014,81.78,66.56,3.6,1.6,27.44,26.7,10.26,18.91,7.02,4798734,50960.84,52200.0
162,Canada,2013,81.74,66.24,3.7,1.6,27.43,26.67,10.41,18.48,7.14,4802428,52638.12,52800.0
163,Canada,2012,81.66,67.55,3.7,1.7,27.42,26.64,10.51,18.1,7.39,4773306,52670.34,51080.0
164,Canada,2011,81.48,66.82,3.7,1.7,27.41,26.61,10.38,17.53,7.64,4732022,52223.86,47190.0
165,Canada,2010,81.32,69.1,3.6,1.9,27.39,26.57,10.68,17.32,8.18,4660067,47560.67,44490.0
166,Canada,2009,81.07,71.36,3.6,1.9,27.37,26.53,10.66,17.24,8.46,4564540,40874.88,43230.0
168,Canada,2007,80.54,73.68,3.9,1.9,27.3,26.45,9.45,17.06,6.16,4375569,44660.08,41540.0
169,Canada,2006,80.54,73.95,3.9,1.9,27.26,26.4,9.34,16.78,6.48,4294352,40504.04,37900.0
170,Canada,2005,80.11,75.7,3.9,2.0,27.21,26.35,9.04,17.13,6.76,4208834,36383.66,34310.0
171,Canada,2004,79.99,75.73,3.9,2.1,27.16,26.29,9.07,16.93,7.18,4115138,32145.54,29530.0
172,Canada,2003,79.72,77.35,4.0,2.2,27.1,26.23,9.01,16.36,7.57,4026841,28301.86,25480.0
173,Canada,2002,79.53,78.0,3.9,2.3,27.03,26.16,8.86,15.88,7.66,3930648,24256.02,23590.0
167,Canada,2008,80.72,73.0,3.8,1.9,27.34,26.49,9.61,17.28,6.28,4467233,46710.25,44930.0
174,Canada,2001,79.4,79.21,3.6,2.5,26.96,26.08,8.62,15.28,7.22,3844773,23822.1,23120.0
256,Chile,2015,79.75,84.03,5.4,2.7,27.89,28.26,8.35,16.02,6.6,1379860000,13567.36,14080.0
271,Chile,2000,76.87,103.7,5.4,5.6,26.42,27.15,7.0,10.96,10.49,1262645000,5102.97,5030.0
266,Chile,2005,78.02,92.48,4.9,4.0,26.88,27.48,6.62,12.87,9.34,1303720000,7560.54,6200.0
257,Chile,2014,79.47,83.5,5.2,2.8,27.78,28.18,7.84,15.69,6.76,1371860000,14675.15,14690.0
258,Chile,2013,79.34,85.35,5.3,2.9,27.68,28.1,7.48,15.41,6.36,1363240000,15842.16,15080.0
259,Chile,2012,79.02,84.93,5.4,3.0,27.57,28.01,7.02,14.57,6.79,1354190000,15397.78,14170.0
260,Chile,2011,79.11,86.39,5.3,3.1,27.47,27.93,6.8,14.01,7.49,1345035000,14637.76,11860.0
261,Chile,2010,78.5,89.62,5.4,3.2,27.37,27.85,6.82,13.69,8.55,1337705000,12764.59,10720.0
262,Chile,2009,78.74,90.82,5.3,3.5,27.27,27.77,7.25,13.6,11.31,1331260000,10204.56,9880.0
263,Chile,2008,78.48,88.03,5.3,3.6,27.17,27.7,6.74,13.46,9.28,1324655000,10797.05,9950.0
264,Chile,2007,77.83,89.85,5.3,3.8,27.07,27.63,6.21,13.6,8.43,1317885000,10456.83,8700.0
265,Chile,2006,78.26,90.56,5.1,3.9,26.97,27.55,6.07,13.41,9.02,1311020000,9418.27,7350.0
267,Chile,2004,77.62,96.42,4.9,4.4,26.78,27.42,6.91,13.1,10.16,1296075000,6185.3,5200.0
268,Chile,2003,77.39,99.76,4.9,4.5,26.69,27.35,7.25,12.48,9.76,1288400000,4823.26,4570.0
269,Chile,2002,77.44,100.7,4.9,4.8,26.6,27.28,7.21,11.66,10.17,1280400000,4477.19,4520.0
270,Chile,2001,76.77,106.4,5.1,5.2,26.51,27.22,7.1,11.13,10.39,1271850000,4610.59,4780.0
283,Colombia,2004,72.69,125.9,12.0,10.3,24.64,26.0,5.8,15.74,13.72,581154,2811.46,2650.0
284,Colombia,2003,72.36,130.0,12.3,10.5,24.53,25.94,5.78,15.6,13.22,570130,2305.17,2410.0
280,Colombia,2007,73.84,109.5,11.1,9.4,24.97,26.19,6.49,16.28,11.2,616899,4762.08,4170.0
287,Colombia,2000,71.32,148.1,13.4,11.5,24.2,25.72,5.64,14.88,20.52,536758,2546.85,2370.0
282,Colombia,2005,73.08,117.8,11.8,9.8,24.75,26.07,6.07,16.83,11.06,592683,3448.54,3030.0
285,Colombia,2002,71.94,145.1,12.8,10.8,24.42,25.87,5.73,14.86,14.48,559047,2421.16,2410.0
281,Colombia,2006,73.47,115.5,11.5,9.9,24.86,26.13,6.34,16.06,11.09,604658,3782.6,3540.0
286,Colombia,2001,71.5,146.5,13.2,11.3,24.31,25.8,5.94,15.38,15.04,547741,2465.01,2360.0
278,Colombia,2009,74.74,109.4,10.5,8.9,25.2,26.31,7.31,17.04,12.07,642493,5245.95,5200.0
277,Colombia,2010,75.03,106.3,10.0,8.4,25.31,26.37,7.07,16.83,11.15,656024,6392.76,5690.0
276,Colombia,2011,75.32,99.71,9.9,8.4,25.42,26.43,6.78,16.48,10.29,670071,7392.94,6370.0
275,Colombia,2012,75.6,97.35,9.5,8.0,25.54,26.5,6.75,16.2,9.96,684553,8096.8,7340.0
274,Colombia,2013,75.83,94.72,9.0,7.8,25.65,26.56,7.02,16.34,9.25,699393,8263.64,8010.0
273,Colombia,2014,76.04,91.3,8.9,7.6,25.76,26.63,7.19,16.18,8.8,714612,8167.47,8280.0
272,Colombia,2015,76.26,91.23,8.4,7.1,25.88,26.69,7.52,17.04,8.57,730216,6228.65,7420.0
279,Colombia,2008,74.3,107.9,10.8,9.0,25.09,26.25,6.84,16.69,11.27,629470,5534.69,4770.0
402,Costa Rica,2013,79.4,81.18,6.3,3.4,26.7,27.81,7.68,29.15,8.22,4255689,10633.27,9990.0
404,Costa Rica,2011,79.35,81.82,6.5,3.3,26.56,27.59,8.12,32.77,9.52,4280622,9137.46,8130.0
405,Costa Rica,2010,78.67,87.64,6.6,3.3,26.48,27.48,8.03,31.74,7.17,4295427,8147.24,7290.0
406,Costa Rica,2009,78.67,79.08,6.8,3.3,26.4,27.37,7.86,33.1,7.82,4305181,6737.86,6570.0
407,Costa Rica,2008,78.44,80.83,6.8,3.5,26.32,27.25,7.47,32.38,4.93,4309705,6841.91,6440.0
408,Costa Rica,2007,78.46,76.58,7.0,3.5,26.24,27.13,7.0,31.21,4.56,4310217,6055.09,5710.0
409,Costa Rica,2006,78.51,88.2,6.8,3.6,26.15,27.02,6.94,29.51,5.93,4311159,5188.36,5090.0
414,Costa Rica,2001,77.54,90.16,7.4,4.9,25.68,26.37,6.47,24.56,6.05,4299642,3941.6,3700.0
411,Costa Rica,2004,78.33,88.35,6.9,3.8,25.97,26.77,6.63,25.74,6.44,4304600,4376.08,4400.0
412,Costa Rica,2003,78.07,88.35,7.0,4.1,25.88,26.64,6.97,26.33,6.65,4303399,4123.51,4050.0
413,Costa Rica,2002,77.98,88.0,7.2,4.5,25.78,26.51,6.87,24.76,6.4,4302174,4021.43,3790.0
415,Costa Rica,2000,77.59,89.4,7.6,5.5,25.58,26.23,6.56,25.26,5.08,4468302,3773.03,3590.0
401,Costa Rica,2014,78.77,80.37,6.2,3.4,26.77,27.91,7.66,29.14,8.5,4238389,10737.68,10410.0
400,Costa Rica,2015,79.09,82.12,6.0,3.2,26.84,28.01,7.59,29.49,8.41,4203604,11529.96,10770.0
410,Costa Rica,2005,78.5,81.73,6.8,3.5,26.07,26.89,6.66,25.71,6.75,4310145,4643.46,4670.0
403,Costa Rica,2012,79.28,81.59,6.4,3.3,26.63,27.7,7.79,31.29,9.11,4267558,9971.65,9330.0
47,Cuba,2000,76.18,116.5,4.2,4.1,24.06,25.28,6.58,10.8,5.45,948237,2752.2,2620.0
32,Cuba,2015,77.77,100.1,2.3,3.3,25.29,26.14,12.81,18.25,2.4,1187280,7683.74,7270.0
45,Cuba,2002,76.61,108.3,3.9,3.9,24.23,25.41,7.11,11.19,3.31,982194,3007.19,2830.0
44,Cuba,2003,76.77,108.3,3.9,4.1,24.31,25.47,7.1,10.89,2.33,1000350,3205.69,3100.0
43,Cuba,2004,76.91,106.7,3.4,4.3,24.39,25.53,6.83,10.32,1.85,1018684,3403.3,3490.0
42,Cuba,2005,77.05,107.9,3.3,4.3,24.47,25.59,8.76,11.67,1.95,1037062,3791.87,3960.0
41,Cuba,2006,77.18,101.8,3.0,4.1,24.56,25.64,8.27,11.21,1.91,1055438,4336.87,4410.0
40,Cuba,2007,77.31,101.9,2.7,3.7,24.64,25.7,10.97,14.48,1.79,1073873,4814.85,4740.0
39,Cuba,2008,77.43,101.5,2.8,3.6,24.72,25.75,11.31,13.18,1.58,1092390,4992.82,5030.0
38,Cuba,2009,77.55,100.8,2.7,3.3,24.8,25.81,12.29,14.93,1.67,1110974,5094.44,5080.0
37,Cuba,2010,77.66,99.79,2.8,3.2,24.88,25.86,10.69,13.87,2.5,1129686,5275.53,5170.0
